name,symbol,price_usd,change,volume_M,market_cap_B,pe_ratio
Graphic Packaging Holding Company,GPK,9.74,-0.2,5.703,2.881,6.65
GLOBALFOUNDRIES Inc.,GFS,59.25,0.49,5.682,32.53,34.43
"D.R. Horton, Inc.",DHI,162.2,8.86,5.657,47.216,13.58
"Albertsons Companies, Inc.",ACI,17.1,0.47,5.646,8.788,41.88
V.F. Corporation,VFC,21.49,-0.01,5.645,8.408,36.66
GitLab Inc.,GTLB,22.15,0.49,5.603,3.768,
"Fluence Energy, Inc.",FLNC,12.77,0.14,5.579,2.349,
Canadian Natural Resources Limited,CNQ,44.28,0.98,5.554,92.593,11.4
ConocoPhillips,COP,120.26,3.81,5.515,146.999,18.27
"Host Hotels & Resorts, Inc.",HST,21.12,-0.17,5.505,14.712,19.2
Fifth Third Bancorp,FITB,51.1,0.12,5.499,46.288,17.73
Baker Hughes Company,BKR,60.25,1.08,5.465,59.753,22.99
NovaGold Resources Inc.,NG,9.39,-1.36,5.429,4.12,
Cognizant Technology Solutions Corporation,CTSH,60.45,0.19,5.415,29.176,13.44
Bitdeer Technologies Group,BTDR,12.08,-0.95,5.411,2.935,
Almonty Industries Inc.,ALM,21.94,-1.43,5.41,6.186,
Fortuna Mining Corp.,FSM,10.08,-0.57,5.41,3.08,13.03
"Mondelez International, Inc.",MDLZ,56.13,-1.18,5.384,72.04,30.29
Equinor ASA,EQNR,37.65,1.64,5.38,93.83,18.06
Blackstone Inc.,BX,128.5,-0.49,5.353,157.061,33.35
"Tempus AI, Inc.",TEM,55.15,-1.63,5.34,9.894,
Masco Corporation,MAS,66.76,0.08,5.335,13.593,17.25
Lumentum Holdings Inc.,LITE,836.92,-58.19,5.314,59.792,273.31
"Block, Inc.",XYZ,71.75,-2.14,5.295,43.6,33.89
"Extreme Networks, Inc.",EXTR,18.67,0.38,5.26,2.507,293.07
"The Williams Companies, Inc.",WMB,70.43,-0.48,5.257,86.126,33.25
"ADMA Biologics, Inc.",ADMA,10.78,-0.1,5.234,2.567,18.35
"Terns Pharmaceuticals, Inc.",TERN,52.86,0.12,5.232,6.101,
"Fortinet, Inc.",FTNT,85.26,2.66,5.151,63.403,33.82
"StandardAero, Inc.",SARO,25.11,-1.7,5.144,8.353,32.24
NiSource Inc.,NI,46.93,-0.85,5.13,22.458,24.77
Taseko Mines Limited,TGB,7.1,-0.61,5.122,2.596,
"Moderna, Inc.",MRNA,54.23,-0.36,5.114,21.507,
Carrier Global Corporation,CARR,61.71,0.06,5.101,51.58,36.28
Visa Inc.,V,309.94,-4.0,5.091,597.577,29.78
Synchrony Financial,SYF,77.63,-0.95,5.087,27.96,8.44
The Kroger Co.,KR,68.81,0.92,5.048,43.546,44.28
"Apollo Global Management, Inc.",APO,127.26,-0.07,5.025,73.865,22.51
"Flagstar Bank, National Association",FLG,14.41,-0.4,5.019,5.994,
Valley National Bancorp,VLY,13.4,-0.19,5.016,7.443,13.39
